title,author,filename,url
Architecture in Sudan: The Post-Independence Era 1956-1970,Leanne McPhee,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/architecture-in-sudan-the-post-independence-era-1956-1970.epub
Are Huge Tree Planting Projects More Hype than Solution?,Beatrice Shorts,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/are-huge-tree-planting-projects-more-hype-than-solution.epub
Art and Industry: The Achievements of Meroe,Donna Kornhaber,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/art-and-industry-the-achievements-of-meroe.epub
Assessing Regional Integration in Africa: Enhancing Intra-African Trade,African Development Bank,assessing-regional-integration-african-development-bank.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/assessing-regional-integration-african-development-bank.pdf
Assessment of Household Food Security and Poverty in the Traditional Rainfed Agriculture of Sudan: The Case of North Kordofan,Mohamed Al-Feel,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/2014_Assessment_of_the_households_food_s.pdf
Assessment of the Impact of Foreign Direct Investment (FDI) in the Productive Sectors of the Economy of Sudan,Khalid Drras,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/Assessment_of_the_impact_of_Foreign_Dire.pdf
Automobile Dependency and Economic Development,Todd Alexander Litman,automobile-dependency-and-econo-todd-alexander-litman.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/automobile-dependency-and-econo-todd-alexander-litman.pdf
B 500: The Statue Cache at Meroe,Dean Buonomano,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/b-500-the-statue-cache-at-meroe.epub
Bad Company: How Dark Money Threatens Sudan's Transition,Global Witness,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/bad-company-how-dark-money-threatens-sudan-s-transition.epub
Best Practices for Water Harvesting and Irrigation in Sudan,Elizabeth Blandon,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/best-practices-for-water-harvesting-and-irrigation-in-sudan.epub
Between Kerma and Avaris: The First Kingdom of Kush,Mark Twain,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/between-kerma-and-avaris-the-first-kingdom-of-kush.epub
Between Valorization and Devaluation: World Heritage in Sudan,Peter Sander,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/between-valorization-and-devaluation-world-heritage-in-sudan.epub
Beyond the Riverside: Alternative Sustainable Vision for Khartoum Riverfront,Mark Twain,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/beyond-the-riverside-alternative-sustainable-vision-for-khar.epub
Beyond the Riverside: An Alternative Sustainable Vision for Khartoum Riverfront Development,Ibrahim Zakaria Bahreldin,,https://www.hrpub.org/journals/article_info.php?aid=9200
Bibliography of the Mahdist State in Sudan 1881-1898,Mark Willenbrink; Mary Willenbrink,,https://www.academia.edu/4075679/The_Bibliography_of_the_Mahdist_State_in_the_Sudan_1898_1898
"Black Gold for Blue Gold: Sudan's Oil, Ethiopia's Water and Regional Integration","Grace Gershuny; Deborah, L. Martin",,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/black-gold-for-blue-gold-sudan-s-oil-ethiopia-s-water-and-re.epub
Black Kings on the Nile: The Nubian Pharaohs,David A. Price,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/black-kings-on-the-nile-the-nubian-pharaohs.epub
Building Textile Archaeology in Ancient Sudan: The TexMeroe Project,Zander Brumbaugh,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/building-textile-archaeology-ancient-sudan-texmeroe.pdf
By Nile and Tigris: Journeys in Egypt and Mesopotamia,E.A. Wallis Budge,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/by-nile-and-tigris-journeys-in-egypt-and-mesopotamia.epub
Call for Concept Notes: Investing in Rain-Fed Agriculture in Sudan,Abdalla Ahmed Abdalla,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/call-for-concept-notes-investing-in-rain-fed-agriculture-in-.epub
Calling Out to Isis: The Enduring Nubian Isis Cult,Edwin Black,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/calling-out-to-isis-the-enduring-nubian-isis-cult.epub
Can Sudan's New Government Solve the Annual Mass Flooding Crisis?,Khattab Hamad,can-sudan-s-new-government-solv-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/can-sudan-s-new-government-solv-unknown.pdf
CBD Strategy and Action Plan — Sudan,Government of Sudan,cbd-strategy-and-action-plan-government-of-sudan.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/cbd-strategy-and-action-plan-government-of-sudan.pdf
Challenges of Agricultural Technology Transfer and Productivity Increase in Sudan,Jeff Carlson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/challenges-agricultural-technology-transfer-sudan.pdf
Challenges to Economic Development in Developing Countries: Case Study of Sudan's Economic Conundrum,Ruby Khan,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/Challenges_to_Economic_Development_in_De.pdf
Characterization of Urban Agricultural Activities in Khartoum State,Sahar Babiker Ahmed Abdalla,,https://link.springer.com/article/10.1007/s10705-011-9476-7
Christianity in Sudan and Ethiopia,William B. Anderson; Ogbu U. Kalu,,https://repository.up.ac.za/bitstream/handle/2263/21579/005_Chapter4_p075-116.pdf
City Making in Africa: Urban Planning and City Management,Michaela Riva Gaaserud,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/city-making-in-africa-urban-planning-and-city-management.epub
City Making in Africa: Urban Planning and Development,Azza Mustafa Babikir Ahmed,,https://www.academia.edu/93221616/City_making_in_Africa_Urban_planning_and_the_reconfiguration_of_Tuti_Island_Khartoum_Sudan
Clothing the Elite: Textile Production and Consumption in Ancient Sudan and Nubia,Lewis Hill; Leonard Perry,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/clothing-elite-textile-production-ancient-sudan.pdf
Colonial Moral Economy and the Discipline of Development: The Gezira Scheme,Leslie Bilderback,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/colonial-moral-economy-and-the-discipline-of-development-the.epub
Consolidating Sudan's Transition: A Question of Legitimacy,International Crisis Group,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/consolidating-sudan-s-transition-a-question-of-legitimacy.epub
Continuation of the National Emergency With Respect to Sudan 2023,U.S. Government,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/continuation-of-the-national-emergency-with-respect-to-sudan.epub
Corruption and Anti-Corruption in Sudan,Kaunain Rahman (Transparency International),corruption-and-anti-corruption-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/corruption-and-anti-corruption-unknown.pdf
Cotton Export Performance and Constraints in Sudan,Imad Yousif,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/cotton-export-performance-constraints-sudan.pdf
Cotton in Ancient Sudan and Nubia: Archaeological Sources,Edwin Black,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/cotton-in-ancient-sudan-and-nubia-archaeological-sources.epub
Could the Nile Dispute Be an Opportunity to Boost Freshwater Technology?,Addisu Lashitew; Haim Kassa Gebeyehu (Brookings),,https://www.brookings.edu/articles/could-the-nile-dispute-be-an-opportunity-to-boost-freshwater-technology/
Country Profiles: Sudan,UN Economic Commission for Africa,country-profiles-sudan-un-economic-commission-for-afri.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/country-profiles-sudan-un-economic-commission-for-afri.pdf
Country Reports on Human Rights Practices for 2017: Sudan,U.S. Department of State,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/country-reports-on-human-rights-practices-for-2017-sudan.epub
Crops and Wildlife in Sudan,Alan Pearce,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/crops-and-wildlife-in-sudan.epub
Cultivating an Arid Landscape: Archaeology of Ancient Sudan,Freda McManus; Gillian Butler,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/cultivating-an-arid-landscape-archaeology-of-ancient-sudan.epub
Current Status of Agriculture and Future Challenges in Sudan,Abdalla Ahmed Abdalla,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/current-status-of-agriculture-and-future-challenges-in-sudan.epub
Current Status of Agriculture and Future Challenges in Sudan,Unknown,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/current-status-agriculture-future-challenges-sudan.pdf
Darfur Infrastructure Development Report 2017,Krishnendu Chaudhury,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/darfur-infrastructure-development-report-2017.epub
DARFUR: Historical and Contemporary Aspects,Beatrice Shorts,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/darfur-historical-and-contemporary-aspects.epub
Desert Legions: Rome's Campaigns along the Nile,Allan MacGregor,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/desert-legions-rome-s-campaigns-along-the-nile.epub
Development Economics in Sudan: The Ten Year Economic and Social Plan,Iman Sharif,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/development-economics-sudan-ten-year-plan.pdf
Digital Logistics Capacity Assessments,World Bank / UNCTAD,digital-logistics-capacity-asse-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/digital-logistics-capacity-asse-unknown.pdf
Distortions to Agricultural Incentives in Sudan,Hamid Faki; Abdelmoneim Taha,distortions-to-agricultural-inc-hamid-faki-abdelmoneim-taha.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/distortions-to-agricultural-inc-hamid-faki-abdelmoneim-taha.pdf
Does Foreign Aid Promote Economic Growth in Sudan? Evidence from ARDL Bounds Testing Analysis,"Mohammed Elhaj Mustafa Ali, Manal Mahagoub Elshakh, Ebaidalla Mahjoub Ebaidalla",,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/erf-foreign-aid-growth-sudan.pdf
Doing Business 2020: Sudan Economy Profile,World Bank,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/doing-business-2020-sudan-economy-profile.epub
Doing Business in Sudan 2017,World Bank,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/doing-business-in-sudan-2017.epub
Dongola Guide Book,Nubian Archaeological Development Organization,dongola-guide-book-nubian-archaeological-developme.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/dongola-guide-book-nubian-archaeological-developme.pdf
"Dongola Reach: A Historical, Geographical and Economic Overview",Mahmoud El-Tayeb,dongola-reach-a-historical-geog-mahmoudel-tayeb.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/dongola-reach-a-historical-geog-mahmoudel-tayeb.pdf
Eastern African Country Profiles: Sudan,UN Economic Commission for Africa,eastern-african-country-profile-un-economic-commission-for-afri.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/eastern-african-country-profile-un-economic-commission-for-afri.pdf
Eastern Desert Ware: Traces of the Inhabitants of the Eastern Desert,Clive Thompson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/eastern-desert-ware-traces-of-the-inhabitants-of-the-eastern.epub
Eastern Sudan in Its Setting: Archaeology of a Region Far From the Nile Valley,Cathy Whitlock; Art Directors Guid,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/eastern-sudan-in-its-setting-archaeology-of-a-region-far-fro.epub
Economic Development Challenges in Sudan and the Need for Skill Upgrading and Technological Development,"Mohamed Nour, S.",,https://link.springer.com/book/10.1007/978-3-642-32811-4
Effect of Oil Revenue and the Sudan Economy: Econometric Model for Services Sector GDP,Hassan and Abdullah,,https://www.sciencedirect.com/science/article/pii/S187704281500395X
Egypt's Role in the Events of 701 B.C. in Jerusalem,Michaela Riva Gaaserud,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/egypt-s-role-in-the-events-of-701-b-c-in-jerusalem.epub
Encyclopedia of the Peoples of Africa and the Middle East,Catherine Saxelby,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/encyclopedia-of-the-peoples-of-africa-and-the-middle-east.epub
Entanglement and the Formation of the Ancient Nubian Napatan State,Lewis Hill; Leonard Perry,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/entanglement-and-the-formation-of-the-ancient-nubian-napatan.epub
Episodes in the Mathematics of Medieval Islam,Berggren,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/episodes-in-the-mathematics-of-medieval-islam.epub
Estimating High-Resolution Red Sea Surface Temperature Hotspots,Arnab Hazra; Raphaël Huser,estimating-high-resolution-red-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/estimating-high-resolution-red-unknown.pdf
Estimating Red Sea Surface Temperature Hotspots Using Semiparametric Spatial Model,Lewis Hill; Leonard Perry,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/estimating-red-sea-surface-temperature-hotspots-using-semipa.epub
Evaluating Nubian Population Structure from Cranial Nonmetric Traits,David Kessler,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/evaluating-nubian-population-structure-from-cranial-nonmetri.epub
Evaluation of Foreign Aid from China on Sudan's Economic Development Process,"Adam Hessain Yagoob, Hadia Adam, Ting Zuo",,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/ssrn-2712824.pdf
"Evaluation of Some Orchards Management Practice under River Nile State, Sudan",Mahasin A. Daffall,evaluation-of-some-orchards-man-mahasin-a-daffall.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/evaluation-of-some-orchards-man-mahasin-a-daffall.pdf
Evidence for an Early Nubian Dialect in Meroitic Inscriptions,J. E. Cirlot,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/evidence-for-an-early-nubian-dialect-in-meroitic-inscription.epub
Evolution and Changes in Sudanese Cities,Allan MacGregor,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/evolution-and-changes-in-sudanese-cities.epub
Explaining Sudan's Economic Growth Performance,"Grace Gershuny; Deborah, L. Martin",,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/explaining-sudan-s-economic-growth-performance.epub
"External Debt of Sudan, Position with Heavily Indebted Poor Countries (HIPC) Initiative and the Impact of Exchange Rate & Inflation Rate After the Independence of South Sudan (2010-2017)",Gosay Baba,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/External_Debt_of_Sudan_Position_with_Hea.pdf
FAO Technical Consultation on GMOs in Internationally Traded Food Crops,FAO,fao-technical-consultation-on-g-food.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/fao-technical-consultation-on-g-food.pdf
Farmers in Sudan Battle Climate Change and Environmental Sustainability,CGIAR,farmers-in-sudan-battle-climate-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/farmers-in-sudan-battle-climate-unknown.pdf
Feasibility Study: Block 14 Gold Project Sudan,Michaela Riva Gaaserud,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/feasibility-study-block-14-gold-project-sudan.epub
"Feasibility Study: Block 14 Gold Project, Sudan",Carla Kaboth,feasibility-study-block-14-gold-carla-kaboth.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/feasibility-study-block-14-gold-carla-kaboth.pdf
Financial Development and Economic Growth in Sudan: Empirical Assessment Based on an Application of the ARDL Model,Unknown,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/Financial_Development_and_Economic_Growt.pdf
Fire and Sword in the Sudan,Rudolf Slatin,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/fire-and-sword-in-the-sudan.epub
First Nationally Determined Contribution under the Paris Agreement,Government of Sudan,first-nationally-determined-con-government-of-sudan.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/first-nationally-determined-con-government-of-sudan.pdf
"Fiscal Adjustment in Sudan: Size, Speed, and Composition","Kenji Moriyama, S. M. Ali Abbas, Abdul Naseer",,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/fiscal-adjustment-sudan-size-speed-composition.pdf
Flood Control Projects: Reducing Flood Risk in Sudan,Jeff Carlson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/flood-control-projects-reducing-flood-risk-in-sudan.epub
Following O.G.S. Crawford: Satellite Images and Sudanese Archaeology,Jacqueline Winders,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/following-o-g-s-crawford-satellite-images-and-sudanese-archa.epub
"Food, Poverty and Vulnerability Index for the Nile Basin Region 2009",Freda McManus; Gillian Butler,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/food-poverty-and-vulnerability-index-for-the-nile-basin-regi.epub
Food-Poverty-Vulnerability Index Analysis for the Nile Basin Region: Sudan,IFPRI,food-poverty-vulnerability-inde-unknown.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/food-poverty-vulnerability-inde-unknown.pdf
Foreign Trade Barriers,Office of the US Trade Representative,foreign-trade-barriers-ambassador-katherine-tai.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/foreign-trade-barriers-ambassador-katherine-tai.pdf
From Beyond the Rivers of Cush: Cushite-Israelite Interrelations,Donna Kornhaber,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/from-beyond-the-rivers-of-cush-cushite-israelite-interrelati.epub
From Faras to Soba,Henryk Paner; Artur Obluski,,https://pcma.uw.edu.pl/en/2022/08/23/book-from-faras/
From Subsidy to Sustainability: Diagnostic Review of Sudan's Electricity Sector,World Bank (Kenta Usui et al.),,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/wb-electricity-sector-2019.pdf
From Subsidy to Sustainability: Sudan's Electricity Sector,Galit Shmueli; Peter C. Bruce; Peter Gedeck; Nitin R. Patel,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/from-subsidy-to-sustainability-sudan-s-electricity-sector.epub
From the Sea to the Deserts and Back: New Research in Eastern Sudan,Mark Twain,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/from-the-sea-to-the-deserts-and-back-new-research-in-eastern.epub
Funerary Traditions in Nubian Early Makuria,DPT Collective; Marc de Bruijn; Liz Castro; Florian Cramer; Joost Kircz; Silvio Lorusso; Michael Murtaugh; Pia Pol; Miriam Rasch; Margreet Riphagen,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/funerary-traditions-in-nubian-early-makuria.epub
Gold Mining Concessions in Sudan's Written Laws and Practices in the Nuba Mountains,Saumya Brata Dutt,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/gold-mining-concessions-sudan-nuba-mountains.pdf
